ID,Title,Price_Location,Body_Text
474,Contract for May-August (also renewable) Raintree Commons--Women's,"$300 · Provo, UT","Hey! I'm selling my contract for Raintree Commons, as I returned home. May rent has already been paid and you can move in as soon as you'd like! The contract is May-August, and renewable. The rent for this apartment is normally $389, but was reduced by Raintree to help students out during COVID. The apartment is Premium, and my roommates are wonderful!! (There are 3 living there as of now). Message me ASAP if interested!"
475,3 beds · 2 bath · Apartment,$385 / Month,MAY ALREADY PAID FOR. ALL THREE ROOMS OPENING FOR SUMMER. My two roommates and I are all moving out ASAP. This is a great apartment just across the street from the BYU football stadium. 3 private rooms. 3 parking spots. Washer/dryer in unit. $385 + utilities
476,1 bed · 1 bath · Apartment,$995 / Month,"Very cute apartment right next to the front runner station. Great price, especially considering what you are getting! We have never had an issue with parking, and the fitness center is really nice! Pet friendly, W/D in unit, very nice kitchen appliances, and on the top (4th) floor!!
Availability date is flexible!"
477,Single room from May to August,"$200 · Provo, UT","I'm selling my contract in Glenwood, the room is empty and is gonna be like that until August 15, normal rent is around $330 but I can make it up to $200 for you."
478,1 bed · 2 bath · Apartment,$350 / Month,"I'm selling my men's contract at Glenwood at a big discount! I will give you $250 for BRAND NEW AIRPODS, and May's rent is already paid for!! It's a great place to live, and I'm only selling because I've moved out of Provo!! Message me if you're interested"
479,Private Room at Promenade Place Private ROOM,"$400 · Orem, UT","OK IM GOING HAM, price is normally 525 a month and i'm lowering it to 400. I'm also paying all of May's rent so you end up paying very little. Great area and right next to UVU, takes a few minutes to get there. GYM OPEN 24/7, AS WELL AS HOT TUB"
480,Men's Shared Housing Kensington 10 Condo Row - 2 Spots for Spring/Summer,"$215 · Provo, UT","Look, if you don't know, Kensington 10 is widely regarded as the best apartment in Condo Row, and Condo Row is widely regarded as the best spot for BYU and UVU students.
Debbie Bishop, the owner of MVM Rentals, personally owns the apartment, and has put thousands of dollars into it. Brand new kitchen, extra large fridge, washer and dryer, new appliances appliances, new bathrooms, wall mounted TV, the whole shebang. Debbie is also the kindest lady on the planet.
It's 5 min walk from BYU campus and 3 min walk from the UVX stop. The ward is amazing."
481,1 bed · 1 bath · Apartment,$376 / Month,"Posting for a friend:
This might be a long shot but I'm looking to trade my Provo apartment contract with one in Rexburg. Perfect for someone looking to be closer to home but that has a current contract they need to sell.
Women's Apartment contract for until August. Rent is 376$ per month. ...
See More"
482,"Selling mine and my sisters contracts at Centennial now! Just south of BYU campus! 310$ a month +utilities. LMK if you want 1,2 or all 3 spots! 385-309-8763","$310 · Provo, UT","Selling mine and my sisters contracts at Centennial now! Just south of BYU campus! 310$ a month +utilities. LMK if you want 1,2 or all 3 spots!
385-309-8763"
483,ISO: womens fall contracts at belmont in the same apartment,"$500 · Provo, UT",Looking for 2-3 girls to move in to belmont housing starting in the fall.
484,King Henry Womens Shared PRICE NEGOTIABLE,"$130 · Provo, UT","***I WILL PAY $100 EACH MONTH**
Looking for the BEST summer? Live at King Henry for only $130 a month!
Two spots available for women's shared!
Newly renovated clubhouse, pool, and spa.
Several grills, a pizza oven, fire pits, volleyball net, basketball courts, gym, computer lab, study rooms, piano, and lots of yard space!...

See More"
485,Looking for private room. I have an ESA.,"$800 · Orem, UT","Hi! I'm looking for a private room or apartment under $800 preferably close to Pleasant Grove. I have a small, male, hypoallergenic ESA dog. I can move whenever as long as there is the ability to renew."
486,1 bed · 1 bath · Apartment,$469 / Month,Private room in Orem move in available August 1st
487,Fall 2020- 5 Private Female Contracts,"$450 · Provo, UT","Looking for 5 Private Womens contracts starting August 2020.
Interested in houses & apartments in the Provo area. Message me if you have anything!"
488,Private room + $200,"$419 · Provo, UT","Selling my discounted contract at alpine village! It is female student housing in provo. AMAZING roommates and ward!! It comes with the following:
-1st floor right by parking lot
-Clubhouse (ping-pong, piano, Pool, soda machine, etc)
-gym...







See More"
489,2 beds · 1 bath · Apartment,$850 / Month,"This roomy 2 bedroom apartment is perfect for a married couple or young family! The apartment comes unfurnished, has ample closet space, and is walking distance from BYU, downtown, Joaquin Park, and multiple UTA bus stations.
The bathroom and living room were recently painted. There is an in-unit washer and dryer left by a previous tenant (other units in the building do not have this). The washer works very well but the dryer only tumbles clothes, does not heat. New tenants ...




See More"
490,Low Rate for A Private Room at The Omni- Available NOW,"$350 · Provo, UT","I have a private room Female contract at The Omni! BYU approved! Bedrooms are a great size as well as the living space. Fantastic roommates and an AMAZING ward! Rent is $350 and can be renewed for fall for $360 per month. Utilities are around $30-45 per month, with lots of parking available. Please message me if interested."
491,ISO 2 women’s summer contracts,"$350 · Provo, UT",Looking for 2 women’s contracts for summer term. Can be shared or private!
492,3 Private Men's Room,"$430 · Provo, UT","My friends and I are looking for 3 Private rooms for starting in the fall. We are looking for BYU approved housing that's less than 450 including utilities, parking, and everything else."
493,Mens Shared Room Contract,"$411 · Provo, UT","Men's housing AVAILABLE ASAP. Now until August!
Rent is $411 (utilities AND parking pass included)
The contract ends in August but there is the option to renew. It's recently renovated just a block south of BYU campus. Looking to sell ASAP.
Up to 4 contracts available for the same apartment! ...
See More"
494,Liberty on Eighth Women’s Contract Now-Aug 2021,"$405 · Cedar City, UT","Shared room, kitchen has been redone since this picture, double fridges, and awesome outdoor space at this complex. Plus the easiest walk onto campus ever, right next door! Everyone will tell you it’s the best ward❤️"
495,Mens Shared Room,"$295 · Provo, UT","Need to sell ASAP! You can move in anytime you want and I will pay for May! Great roommates and close to campus and the bus stop. Expires in August but you can re up with them, they are great landlords! Google fiber internet and smart tv along with a washer and dryer on the complex. Lmk if interested!!"
496,SHARED MEN'S HOUSING @ CENTER POINTE,"$325 · Provo, UT","Center Pointe Apartments are just a few blocks away from BYU campus! You will have access to laundry, as well as a gym, games lounge, all at the office which is just one block away! The Bus stop is also just one block away!
Rent is $325/ month and with Utilities and Internet the monthly total comes $370. You can apply online at summerpointeprovo.com or message me with any questions!"
497,Looking for anything in Provo/Orem,"$400 · Murrieta, CA",Looking for two contracts at the same place in the Provo area. My buddy would live there the whole summer and I am only looking for May and June housing because I move away in July. We are loooking for anything from $300-$425. Let me know if you guys have anything. Feel free to PM me. Thanks!
498,Men's Shared Room- Raintree- Available NOW!!,"$320 · Provo, UT","Men's shared room at Raintree- BYU approved Housing! Great location, especially with football games. Great roommates and amazing ward! Rent is $320 per month, plus $25-$45 per month in utilities. The contract ends August 20/2020 but is renewable. Please DM me if interested."
499,Private room in a town house,"$425 · Provo, UT","Selling my private room in a cute townhome in Provo! May is paid for, and it goes until mid August! Move in ASAP!"
500,3 beds · 2 bath · Apartment,$300 / Month,"3 Beds 2 Baths - Apartment
Byu, Provo, UT 84602, United States"
501,1-4 WOMENS CONTRACTS AVAILABLE NOW,"$270 · Provo, UT","1-4 contracts are available for you and friends to move into as soon as possible! Apartment is super close to a UVX stop as well as a BYU Ryde bus stop (literally just right next to the complex).
The apartment has new furniture, 2 fridges, laundry on site, a pool, hot tub, and clubhouse! Parking is also great, you will always have a spot and I'll throw in my parking pass!
The rent has been discounted because of ***coronavirus, so this is a great deal!!!...
See More"
502,4 beds · 2 bath · Apartment,$250 / Month,"PRIVATE MENS SPRING/SUMMER CONTRACT (1 other rooms available in same apartment)
Spring/Summer,
$250+Utilities ($10-$25 a month, and a $15 communications fee) through next August, with possibility of renewal
WILL NEGOTIATE
AVAILABLE NOW ...















See More"
503,WOMEN'S SHARED HOUSING @CAMPUS WAY,"$365 · Provo, UT","FALL AVAILABILITY!
Campus Way Apartments are just a few blocks away from BYU campus located right behind the Provo Library! You will have access to laundry on site, as well as a gym, games lounge, and the office is just downstairs! The Buss stop is also just one block away!
Rent is $365/ month and with Utilities and Internet the monthly total comes $415. You can apply online at campusprovo.com or message me with any questions!"
504,Mens Liberty Square Spring/Summer/Fall/Winter contract,"$425 · Draper, UT","2 blocks always from BYU campus. Includes Fall/Winter contracts
4 person shared rooms
1 spot left...

See More"
505,2 beds · 1 bath · Apartment,$330 / Month,"Helping some friends sell their S/S contract!! Willing to do month to month or sell just Spring or just Summer!! (MEN AND WOMEN SPOTS) BYU APPROVED!!!
-They will pay your app fee!!!
-They will pay your utilities and parking fees!!
-DISCOUNTED RATE!!! ...
See More"
506,Women’s Apartment by Provo VASA,"$345 · Provo, UT","Up to three spots in this room are available!
Available now! And the contract ends August with an option to renew. This apartment is one that they recently remodeled, so the appliances are all brand new.
- washer and dryer included...




See More"
507,byu women's housing,"$265 · North Ridgeville, OH","Selling my BYU women’s approved contract, May-August, can move in NOW!! Need to sell ASAP! Willing to pay $100 each month. Message me!!"
508,MEN'S SHARED HOUSING @CAMPUS EDGE,"$335 · Provo, UT","FALL AVAILABILITY!
Campus Edge Apartments are right across the street from BYU campus! You will have access to laundry on site, as well as a gym, games lounge outfitted with an Xbox 360, and a basketball court!
Rent is $335/ month and with Utilities and Internet the monthly total comes $385. You can apply online at campusprovo.com or message me with any questions!"
509,4 beds · 2 bath · Apartment,$300 / Month,"Selling Men’s Crestwood Condo apt contract, private room 2nd floor. 300 dollars per month which already includes the flat rate for utilities. Originally costing 500 a month but I will Venmo you the rest. Available Now-August. For May only you would only owe 150 plus deposit and I’ll cover the rest! Move out date is Aug 10th, 2020. Has washer and dryer in the condo itself which is really nice! Has nice balcony with view and fireplace with a blower if you like to have it on. Th...
See More"
510,2 beds · 1 bath · Apartment,$330 / Month,"Helping some friends sell their S/S contract!! Willing to do month to month or sell just Spring or just Summer!! (MEN AND WOMEN SPOTS) BYU APPROVED!!!
-They will pay your app fee!!!
-They will pay your utilities and parking fees!!
-DISCOUNTED RATE!!! ...
See More"
511,2 Liberty Square Contracts,"$350 · Provo, UT","Willing to BARGAIN the price!
My brother and I both have contracts at Liberty Square in separate apartments and we are both no longer living in Provo and can sell as soon as we can. We have both loved Liberty Square and it has been such a great environment. I met my wife there as well!
Shared rooms...
See More"
512,Master bedroom in a house s/s,"$150 · Provo, UT","I’m selling my very discounted room for spring and summer with a chance to renew in the fall. The room is great with a walk in closet and private bathroom. The room is shared for spring, and private for summer!"
513,Main Floor Condo 3 bed 2 bath with attached garage!,"$1,499 · Orem, UT","Main Floor Condo, Attached Garage! 1272 Sq Ft
3 bedroom, 2 bath condo with attached garage that walks into the laundry room, no more cleaning snow off your car in the winter!
Comes with washer and dryer, stainless steel appliances, quartz countertop, and large pantry. ...



See More"
514,2 beds · 2 bath · Apartment,"$1,195 / Month","Monthly payment of $1195 includes:
Rent
Water
Garbage ...








See More"
515,Looking for 2-3 contracts,"$450 · Provo, UT",FALL CONTRACTS ONLY. 2-3 PRIVATE rooms. Available parking on site. Close to BYU. No summer contracts please or maybe just one. All in the same unit.
516,PRIVATE ROOM/FULL BATH,"$380 · Provo, UT","Beautiful townhome- Highland Park. Private basement room with adjoining full bathroom, guaranteed parking spots, recently renovated kitchen with granite counter tops, washer/dryer included. Fully furnished, spacious living room. Great area, moved home d/t knee surgery😭selling ASAP. Move in as soon as May 5th. PM me for details, can be a MENS or WOMENS Apt. Pics in comments, price negotiable! Emma Beckstead"
517,4 beds · 3 bath · House,$500 / Month,"Men's Private bedroom up for rent
$500 a month plus utilities
2,888 sq.ft. home near WinCo in Orem
Seconds from the freeway
Unlimited street parking...




See More"
518,MOVE IN TODAY!! Spring and Summer Contract,"FREE · Provo, UT","Liberty on Eighth
$400 per month
Women's contract...
See More"
519,ISO Mens Housing Starting Fall,"$350 · Provo, UT",Me and 3 friends are looking for a place to live in the fall. We are looking for something preferably under $400 and closer to BYU campus!
520,3 beds · 2 bath · Apartment,"$1,295 / Month","Monthly payment of $1295 includes:
Rent
Water
Garbage ...







See More"
521,"Men’s Private room The Branbury, FREE DEPOSIT","$399 · Provo, UT",Private room. Hot tub/pool/Gym. Utilities are included. Move in ASAP!
522,Summer Single Housing @ Raintree,"$250 · Provo, UT",I am selling my Raintree summer contract for $250/mo. (utilities & parking included) with option to renew in the fall. Awesome ward and great place to live!
523,Womens Shares Room,"$280 · Provo, UT","Women’s shared room available ASAP!! I moved in March and no longer live in Utah!
Rent is normally $380 but is discounted to $280/month for the remainder of the lease!
-$150 deposit
-Awesome complex and ward!
-Great roommates! ...




See More"
524,The Lodges at Glenwood,"$340 · Provo, UT","Glenwood is a great place to live. I have lived here since August and it has been great. It's not the Ritz-Carlton, but it is a solid place to live. The atmosphere is good, you can't beat the rent, and its an amazing location. The office staff is also really reasonable. I would totally recommend living here. Message me if you want pictures and we can set up a meeting or something."
525,Private Room SPRING/SUMMER,"$395 · Provo, UT","PRIVATE ROOM IN HOUSE
selling a private room in the cutest house on south campus!
multiple contracts are available so you can live with friends.
2 Kitchens
2 living rooms ...





See More"
526,"BYU men's housing, shared room at Summer Pointe.","$345 · Provo, UT","BYU men's summer contract available, from now until August for a shared room at Summer Pointe. $345 per month, utilities included. Great location - walking distance to BYU and easy access to public transportation. Spacious rooms, great ward, great roommates."
527,2 beds · 1 bath · Apartment,$250 / Month,"2 Beds 1 Bath - Apartment
865 N 160 W, Provo, UT 84604-3492, United States"
528,2 beds · 1 bath · Apartment,$200 / Month,"KILLER DEAL!! TWO female contracts for a shared room (student housing) at Liberty on Freedom!! usually $400/month but we are willing to pay HALF!!! that’s only $200 a month!!!!
-fun pool/hot tub, fitness center, basketball court, lounge, and MORE!! so social!!
-FUN WARD
-easily walking distance to BYU
-reserved parking available...
See More"
529,2 Bedroom apartment available,"$985 · Provo, UT","Located in PROVO
This two bedroom apartment has fresh paint, new flooring, new carpet electronic keypad access, new furnace, and central air. The apartment includes washer and dryer, dishwasher, disposal. Ceiling fan in the master bedroom. Wired for Google Fiber internet. Water is paid for along with garbage and internet. Family friendly community and great ward. One block from the Provo Rec Center, close to other parks. Only a few blocks away from Center Street and right beh...
See More"
530,S/S Women's Private Contract,"$200 · Provo, UT","My friend is selling her contract at Southdowns. It's a condo on 7th east and 7th north in Provo. She has a women's private room in a 4 person apartment. There are 3 bathrooms. One is a half bath on the main floor for guests, the other two are upstairs by the bedrooms. Upstairs there are also 4 sinks, so everybody has their own space to get ready. The contracts is available now through August and rent is $260/month +utilities, but is being discounted to $200/month (and it is possible to renew for another year--f/w $375 and s/s $275 (the price is going up because they are replacing the flooring)). The place was just repainted and has a washer and dryer in house. There are also 4 free parking spots (3 underground, 1 above). I used to live there and really loved it. The roommates are very nice and clean. 11/10 would recommend."
531,ISO Fall contract,"$400 · Provo, UT","I’m a female BYU student looking for housing, Fall semester ONLY. This is ideal for someone going on a Fall study abroad, internship, or someone coming back from a mission in time for Winter semester. I would love to use the Fall portion of the contract and the person can take it back for Winter. Options?"
532,3 beds · 2 bath · Apartment,$280 / Month,"*** Spring/Summer contract***
I’m selling ASAP!
280$ plus utilities
5 min to BYU( in front of BYU)
3 roommates...






See More"
533,3 beds · 2 bath · Apartment,$230 / Month,"BELMONT CONDOS: Medium private room and shared bathroom. My other two roommates moved home so you'd probably have the place to yourself. It is by far the nicest apartment I've ever lived at with newly painted walls and furniture. The contract is available through the rest of the summer and potentially in the Fall too!
Sorry I can't find many photos of the apartment! DM me for a video of the whole place!! (can't attach it here)"
534,LOOKING FOR A WOMENS SUMMER CONTRACT,"FREE · Provo, UT","LOOKING FOR A WOMENS SUMMER CONTRACT
Ladies, these are my requirements, please don’t comment or message me if your contract is missing more than 2 of these requirements!!
- private room big enough for queen bed...










See More"
535,Shared Mens Room,"$295 · Provo, UT","Really needing to sell this!! Will pay for May rent if you take it! Move in whenever you want. Great roommates, close to campus and les than a block from the bus stop. Smart tv and google fiber internet as well as a washer and dryer on the complex! Landlords are great! Message me!!"
536,3 beds · 1 bath · Apartment,$344 / Month,"I’m getting married and I’m selling my shared men’s apartment at King Henry! I’m willing to give you $100 if you buy the contract as a thank you! Contract goes until August with an option to renew. Great location with a 3 minute drive to byu, and a bus that stops right in front of king henry to take you to byu.
Some of the great things about it are:
* Laundry in the clubhouse
* A couple fire pits to socialize at
* A sand volleyball court...




See More"
537,1 bed · 1 bath · Apartment,$479 / Month,"1 Bed 1 Bath - Apartment
1732 N 450 W, Provo, UT 84604-1449, United States"
538,Men's Huge Private Master Bedroom @ Belmont,"$390 · Provo, UT","DISCOUNTED $100 ALREADY. Normally 490. Private bathroom, walk in closet, covered parking stall included. Easily the best room in Provo! Another smaller room contract is available if you want to move in with a friend. Read Less"
539,2 beds · 2 bath · Apartment,"$219,900","Has a laundry room - washer and dryer included!
Natural light, open floor plan, great location.
This stunning condo is completely remodeled! The unique floor plan is spacious and open and is an incredible use of its space. With new carpet, paint, trim, light fixtures, and beautiful luxury vinyl plank flooring, this condo feels brand new.
HUGE windows give lots of natural light in the main living area and the bedrooms. Bedrooms and laundry room are spacious. Location is unbe...
See More"
540,Mens Contract,"$145 · Provo, UT","Spot available NOW at Bay Terrace. Month of May already paid for. Great price and the contract can be renewed for Fall Semester.
- Low year round rent
- 10 minute walk from BYU...
See More"
541,Spring/Summer shared room at Raintree,"$225 · Provo, UT","I am selling my Spring/Summer contract at Raintree, available ASAP!! $225/month including utilities. Rent is normally $275, but i will pay you $50/month to help with the payments. Great apartment, roommates and location! Message me for more info!!"
542,College place Provo - can work with reduced pricing!,"$495 · Provo, UT","Need to sell ASAP will work with whatever , already moved out"
543,DISCOUNTED newly renovated apartment!!,"$400 · Orem, UT","DISCOUNTED HOUSING WITH NO DEPOSIT in Orem! Newly updated apartment, private room, furnished living area, only one other roommate, in unit washer and dryer, storage space, awesome landlord, and nice location. The discounted price is $400 including utilities! The rest of April is free- , no deposit, and contract ends July 1st. (No renewal). It’s been an awesome apartment, the only reason I’m leaving is because i had to move back home to Idaho abruptly. PM me for more info!"
544,PRIVATE ROOM PRIVATE BATH,"$499 · Provo, UT",FREE MAY RENT- move in as soon as you want!!! Private bedroom with a private bathroom since the other roommate is gone! Huge gym at complex and hot tub!! SUCH A GOOD PLACE TO LIVE
545,3 beds · 2 bath · Apartment,$440 / Month,"Master private room, full private bathroom, walk in closet, covered parking spot included.
Furnished condo with queen bed and dresser included. Ground level.
Washer/Dryer, New carpets.
Private owner/manager. Chill guy, very responsive. Option to renew for Fall semester.
Renewal rental price $480/Mo...



See More"
546,Park Plaza,"$200 · Provo, UT",Need to sell my contract (until mid August) ASAP. Park Plaza is really close to BYU and is a great place to live!
547,Men's Private Room- Huge Discount!,"$350 · Provo, UT","Living at the Branbury has been a dream! Only selling my contract because I'm taking a few semesters off, but it's the highest quality housing I have ever had for a great price! Two other spots are also available now if you're looking to move in with friends. Message me with any questions:
Private Room Available immediately!
-May Rent Paid! ...
See More"
548,Spring-Summer Contract at Chatham Towne,"$250 · Provo, UT","I'm selling my contract at Chatham Towne for the summer. It's a spacious 3-story townhouse on 900 E, right next to campus. The apartment includes covered parking underneath, a dishwasher, washer/dryer (in-unit), and the back deck of the complex has a grill. All of my roommates have left so there are completely empty rooms: a loft with a ton of storage and another private room with a porch and storage overlooking the mountains. Happy to prorate rent to $250 OBO. Deposit is $300 and available immediately!"
549,4 beds · 4 bath · Townhouse,$500 / Month,"Brand new 3-story townhouse, just built in December. Located at Lakeview Fields just around the corner from UVU and a short drive from BYU. 2 open rooms, both open and have the option to be shared if you want to save some money. So up to 4 people can move in."
550,Discounted shared room at the Riviera!,"$359 · Provo, UT","I’m selling my contract at the Riviera! The contract goes from June 1st-mid August. It’s a shared room, but my roommate got married and isn’t selling her contract so you will have the room and bathroom to yourself, or you can move in with a friend! There’s also another spot available! With utilities rent is $407 but I will cover utilities through August, bringing it down to $359! I will also bring the first month’s rent down to $250!! Here are some other things about the apar...








See More"
551,BYU Woman’s Summer contract with chance to renew,"$405 · Provo, UT","I’m selling my Private bedroom at Belmont condos for end of May until end of August. Medium size room (PLENTY of space), reserved parking lot, great living location, amazing apartment. Honestly my favorite one i’ve lived in. There is a chance to possibly renew for next year as well."
552,4 private rooms for sale at UVU -- Available for Fall 2020!,"$439 · Orem, UT","4 private rooms for sale at Summerwood condos (UVU student housing) located right at campus!
-Washer/Dryer in unit
-off-street parking
-walk 5 min to your classes...
See More"
553,4 beds · 2 bath · Other,$475 / Month,"Women’s private room
Available anytime
Month of May free!
24 hour amenities ...
See More"
554,2 beds · 2 bath · Apartment,"$1,325 / Month","**NEED TO SELL ASAP**
We are looking to sell the entire contract.
- Contract ends in September 2020...










See More"
555,4 plex close to BYU,"$850 · Lehi, UT","Available now. Nice, newly remodeled. Dishwasher, washer dryer hookups in the bathroom. Off street parking for 1 car."
556,Shared Master bedroom BOTH spots open!,"$380 · Orem, UT","My roommate and I are looking for two other guys to share the master bedroom at our awesome apartment!
Parkway lofts is awesome, the ward is super close by and full of awesome people!
BOTH spots are available so you can bring a friend 👌🏼
Rent is about $380 ...



















See More"
557,1 bed · 1 bath · House,$420 / Month,"Selling a Men’s Private Room Contract that lasts till August 2021
Rent is $420, the Utilities are around $20 and the Deposit is the first and last month’s rent.
Rooms are nice, with window a/c, pretty new carpet.
Great ward to be a part of.
Parking is available as well!...
See More"
558,PRIVATE ROOM!,"$400 · Provo, UT","DISCOUNTED RENT!
-May Rent, PAID
-4 Bedroom, 2 1/2 Bathroom
-Large Kitchen, and Living Room
-Balcony...


See More"
559,3 beds · 3 bath · Townhouse,$200 / Month,"***DISCOUNTED MENS APT IN NICE TOWNHOME!!***
SPRING/SUMMER ONLY
NEED TO SELL ASAP...






See More"
560,"Wonderful, modern 1 bed/ 1 bath in walking range to BYU (available May 15th)","$959 · Provo, UT","We have LOVED staying in this little basement apartment. It has been our home for 1 1/2 years and we will miss it. It is a one bedroom, one bathroom basement apartment with an Airbnb above it that is occupied part time. We estimated it at roughly 550 square feet. The first advantage to this place is the amazing landlord, Dean, who has been unbelievable to work with. In addition, the kitchen was recently remodeled and features newer appliances and black quartz countertops. The...
See More"
561,WOMENS PRIVATE ROOM AVAILABLE ASAP,"$370 · Provo, UT","Hi!! I’m selling my contract at College Place, available immediately-August! It’s originally $530 a month plus utilities, but I will pay $500 up front so it makes it about $367 per month. It’s a private room with 3 roommates and 2 bathrooms. Only one girl is living there right now so you will have your own bathroom and only one roommate! The rooms are super nice and a huge kitchen. If you have friends you want to move in with, you can have one of my roommates contracts as wel...





See More"
562,Men's Private Apartment @ Branbury,"$300 · Provo, UT","I am getting married so I need so sell my contract asap!
It is a large private room with a full size bed, very clean, only one room-mate living there currently, branbury residents get access to a super nice hot-tub, pool, basketball and volleyball courts as well! The contract is up on August 13th and it is usually 460 a month but I am willing to pay 160 (that covers utilities plus well over 100 in rent) a month for you! This place was great! Only minutes from BYU and UVU!"
563,ALPINE VILLAGE PRIVATE ROOM,"$415 · Provo, UT","Hey I'm selling my men's contract at Alpine Village for the 2020 Spring and Summer terms. SUPER CHEAP. definitely negotiable. It lasts from April 28th-August 16th with the option to renew for the next year. Shoot me a text if you're interested!
(209) 618-7055
Amenities include:
24-Hour Fitness Gym
Basketball Court...



























See More"
564,Raintree Apartment! Cheap Rent!,"$247 · Provo, UT",I'm selling my shared room contract at Raintree Apartments through August! Rent has been reduced to $247 + $40 utilities through the end of the contract. Great ward and fantastic open concept for a student apartment. Please let me know if you're interested.
565,Old Academy private room,"$325 · Provo, UT","Hey everyone! Just like everyone else, I’m looking to sell my old academy contract. It’s some of the best apartments around BYU. Private room. Normally it’s $500 but I’m discounting it down to $325. Best part, you can move in ASAP. get in at the beginning of May if you want!"
566,Private Room CollegePlace Provo,"$300 · Provo, UT","Heavily discounted!! I will venmo you $200 each month (May, June, July) so rent is $300 a month, plus utilities, and parking if you want (parking is $50 a month)
August is already paid for, you can renew for fall/winter!!
I can venmo $600 upfront once you sign the contract!! ...
See More"
567,1 bed · 1 bath · Apartment,$420 / Month,"DISCOUNTED LIBERTY SQUARE CONTRACT!!!
Normally 420- discounting to 300!!! Goes from May-August!"
568,3 beds · 2 bath · Apartment,$300 / Month,"Awesome apartment at Campus Way. Shared rooms. 3 Beds 2 Baths. Located behind the Provo City Library near BYU and next to the bus stop to take you to UVU.
Lounge includes ping pong, foosball, pool table, a piano, and a gym. BYU approved housing.
This is a discounted price for one contract, but there are 6 contracts available at this price. Available now and contract runs through August.
580 N 100 E, Provo, UT 84606-1701, United States"
569,Classic Apartment at The Lodges At Glenwood,"$349 · Provo, UT","Price
- $349/month (price includes $309 rent and $40 utility charge)
- Price is for an individual student in a classic apartment (each apartment may hold up to six students)
Details...












See More"
570,Private Rooms for Fall,"$489 · Provo, UT","Want $30 off rent every month? Sign by April 30th‼️
Rent is usually $519/month but will be discounted at $489/month for another 48 hrs 🙌
Don’t miss out on a chance to live in our brand new, renovated private rooms ✨ right across the street from UVU 😎"
571,Private Room at University Gateway,"$511 · Orem, UT","My private room at University Gateway is for sale! The contract ends August 1, but has the option to renew. Shared bathroom/vanity. Fully furnished. $511 is what I pay for utilities, parking, and rent. I have loved living at Gateway and would be renewing if I wasn’t studying abroad next semester. Super close to Walmart, UVX, 10 minute walk to UVU, and I-15. The roommates are kind and keep to themselves. There is a nice pool and hot tub as well as a volleyball court and basketball hoops. So many nice people live here! The laundry room is maintained and very close to my unit. I will pay May’s rent - you can move in today!"
572,4 spots @ CampusWay FALL/WINTER,"$411 · Provo, UT","**price including flat-rate utilities (use all the AC/water/internet you want)
Alright y'all. This place is the actual bomb.
How do I love thee [CampusWay], let me count the ways:...
See More"
573,2 beds · 2 bath · Apartment,$250 / Month,"Discounted Men’s contract at Liberty Square Spring/Summer
Available May 1st
-Shared room to yourself (roommate moved out)
-SUPER close to campus (5 min walk)
-Central heating and air and dishwasher...








See More"
574,King Henry Sp/Su Contract! ☀️,"$250 · Provo, UT","Selling my female Spring/Summer contract at King Henry - one of the most fun & social places in Provo. Shared room, really fun roommates, and super clean. Price is negotiable! Message me if interested!! 😊"
575,ISO FALL SHARED ROOM,"$300 · Roosevelt, UT",ISO of a shared room in the FALL that my friend and I can share. We want to be in Orem and have the price around $275-$375 including utilities. Needs parking. Would prefer washer and dryer in unit. We don’t care if it’s an apartment or a house. Please dm me with any info you have!
576,1 bedroom 1 bath apt,"$725 · Provo, UT","Available NOW through August with option to renew.
2 blocks south of BYU. Natural light. 2 closets in the bedroom!
Perfect for newlyweds....



See More"
577,Centennial Contract,"$210 · Provo, UT",I'm selling my Centennial contract from May-August 15 ASAP. This shared room contract is $310 but I will sell it at a discounted rate of $210. There is a $15-20 utility fee on top of this. There is on site laundry and a hot tub. It's move in ready. DM me with any questions!
578,One Spring/Summer shared room womens contract,"$250 · Provo, UT",Fall/winter renewable! Great house! Super fun roommates! LGBTQIA+ friendly! 10 minute walk from campus! Washer/dryer!
579,2 beds · 1 bath · Apartment,"$1,150 / Month","Apartment is ready now and April's rent is free!
$99 for May's rent and $200 off in June in you sign a 12,15 or 18th month lease.
-2 bedroom 1 bath newly renovated in a great spot in Orem. Right by Walmart and the free way. Lots of shopping and dinning options on center street (5 mins from the apartment)
-Tenants are responsible for gas and electric
-FREE underground parking...

See More"
580,Spacious 1 bedroom basement apartment with storage room,"$920 · Provo, UT","Price reflects what we typically pay for rent and utilities (water is split with upstairs, you have your own electric, and a flat $50 for gas). Contract starts July 1 and can be renewed for the next 12 months. The Washer and Dryer are ours, and you can either buy them for $700 or we will move them out with us.
- large kitchen
- washer/dryer hookups...
See More"
581,New Vineyard Townhome - Sept 1 - 5BR/3.5BA,"$2,495 · Orem, UT","Hi Everyone,
:::NEW Townhome in Vineyard with views of Lake and Mountains at doorstep:::
Beautiful Townhome located in Vineyard, UT, with breathtaking mountain and lake views. ...
















See More"
582,Private room,"$350 · Orem, UT",Looking for a private room beginning June1st. NOT BYU approved! Non LDS standards! Please message me
583,1 Large private room,"$290 · Provo, UT","( DISCOUNTED $100 OFF EACH MONTH)
Selling 1 private room at Carriage Cove apartments in Provo close to BYU! I am moving out at the end of this month and the contract will be available on May 1st. Very social ward and apartment complex. Rent is only $390 per month and you get a good sized room all to yourself with 4 other roommates in the apartment. Pool, hot tub, and rec room. Message me if interested!"
